rule_id,rule_level,http_method_post,status_code,url_length,bytes_sent,has_sqli_token,has_xss_token,has_cmd_token,has_traversal,has_encoded_chars,source_is_external,requests_per_min,failed_logins,hour_of_day,is_off_hours,label,attack_type
0,2,1,200,6,4083,0,0,0,0,0,0,4.36,1,3,1,0,benign
31101,4,1,301,15,3525,0,0,0,0,0,0,2.52,0,12,0,0,benign
31101,2,1,304,15,5495,0,0,0,0,0,0,3.38,1,12,0,0,benign
31101,2,0,301,17,6500,0,0,0,0,0,0,2.42,0,4,1,0,benign
31101,2,1,200,22,2411,0,0,0,0,0,0,2.64,0,14,0,0,benign
31101,2,1,200,22,814,0,0,0,0,0,0,3.22,0,17,0,0,benign
0,7,1,200,17,3218,0,0,0,0,0,1,3.13,1,13,0,0,benign
0,1,1,200,15,3092,0,0,0,0,0,0,4.6,0,11,0,0,benign
31100,1,1,200,23,6279,0,0,0,0,0,0,2.63,0,21,1,0,benign
0,3,1,200,15,7087,0,0,0,0,0,0,1.75,0,0,1,0,benign
0,3,1,301,22,5559,0,0,0,0,0,0,1.28,0,17,0,0,benign
31101,3,1,301,23,5155,0,0,0,0,0,0,0.54,1,11,0,0,benign
31101,4,0,200,6,6443,0,0,0,0,0,0,0.27,0,3,1,0,benign
31101,0,0,200,15,7720,0,0,0,0,0,0,0.99,0,11,0,0,benign
31103,11,0,500,53,6554,1,0,0,0,1,1,7.62,0,14,0,1,sql_injection
5712,8,0,200,28,5515,0,0,0,0,0,1,95.16,52,11,0,1,brute_force
0,0,0,200,29,885,0,0,0,0,0,0,0.91,0,13,0,0,benign
31103,12,0,200,53,12632,1,0,0,0,1,1,3.29,0,23,1,1,sql_injection
0,0,0,304,32,6923,0,0,0,0,0,0,2.98,0,22,1,0,benign
0,2,0,200,25,6186,0,0,0,0,0,0,1.91,0,1,1,0,benign
31101,4,0,200,15,764,0,0,0,0,0,0,0.76,0,17,0,0,benign
100101,10,0,200,59,6985,1,0,0,0,1,1,0.98,0,17,0,1,sql_injection
31101,2,1,200,15,6408,0,0,0,0,0,0,4.35,0,22,1,0,benign
31101,0,0,304,22,7461,0,0,0,0,0,0,0.79,0,13,0,0,benign
100140,11,0,500,64,750,0,0,0,0,0,1,6.49,0,15,0,1,file_inclusion
31101,3,1,200,23,2122,0,0,0,0,0,0,2.83,0,1,1,0,benign
31101,12,0,302,28,5230,0,0,0,0,0,0,5.6,1,2,1,1,xss
31101,2,1,200,22,5184,0,0,0,0,0,0,2.86,0,22,1,0,benign
31120,11,0,200,64,5383,0,0,0,0,0,1,4.86,1,15,0,1,file_inclusion
0,3,0,200,6,7271,0,0,0,0,0,0,4.03,0,22,1,0,benign
31101,0,1,200,15,7950,0,0,0,0,0,0,1.2,0,22,1,0,benign
31101,2,0,200,23,1572,0,0,0,0,0,0,2.05,0,14,0,0,benign
100140,12,0,200,64,9908,0,0,0,0,0,1,5.35,0,1,1,1,file_inclusion
100140,10,0,500,53,7823,0,0,1,1,0,1,5.25,1,10,0,1,file_inclusion
31101,0,0,200,17,7093,0,0,0,0,0,0,2.68,0,5,1,0,benign
0,0,1,200,25,6142,0,0,0,0,0,0,1.95,1,7,1,0,benign
100110,14,0,200,28,1906,0,0,0,0,0,1,240.09,394,14,0,1,brute_force
100130,13,1,200,51,5622,0,0,1,0,1,1,4.34,0,11,0,1,command_injection
100140,10,0,500,53,5205,0,0,1,1,0,1,5.58,1,8,0,1,file_inclusion
31101,1,0,301,15,3609,0,0,0,0,0,0,1.66,0,22,1,0,benign
100110,12,0,200,28,5386,0,0,0,0,0,1,269.13,428,8,0,1,brute_force
31101,12,1,302,28,2781,0,0,0,0,0,0,1.67,0,10,0,1,xss
31101,1,1,200,15,2449,0,0,0,0,0,0,0.48,0,20,1,0,benign
31100,2,0,200,15,6643,0,0,0,0,0,0,4.39,0,16,0,0,benign
31100,4,0,200,23,6671,0,0,0,0,0,1,0.46,1,7,1,0,benign
100120,8,1,302,28,14763,0,0,0,0,0,0,5.96,0,0,1,1,xss
100111,13,0,200,28,4684,0,0,0,0,0,1,154.17,437,12,0,1,brute_force
100140,10,0,500,53,4162,0,0,1,1,0,1,6.18,0,4,1,1,file_inclusion
100101,12,0,200,53,14791,1,0,0,0,1,1,3.59,0,17,0,1,sql_injection
31101,0,1,301,23,380,0,0,0,0,0,0,4.81,0,21,1,0,benign
31120,13,0,200,64,1376,0,0,0,0,0,1,5.96,0,0,1,1,file_inclusion
100140,12,0,200,64,3795,0,0,0,0,0,1,9.06,1,17,0,1,file_inclusion
31101,4,0,200,22,7523,0,0,0,0,0,1,0.4,0,10,0,0,benign
0,0,0,301,6,4090,0,0,0,0,0,0,3.45,0,2,1,0,benign
31101,1,0,200,22,4507,0,0,0,0,0,1,4.05,0,15,0,0,benign
100101,13,0,200,57,13839,1,0,0,0,0,1,9.41,1,8,0,1,sql_injection
0,4,0,200,23,6983,0,0,0,0,0,0,4.5,1,21,1,0,benign
0,0,0,301,17,3264,0,0,0,0,0,0,2.37,0,23,1,0,benign
31100,3,0,304,15,6660,0,0,0,0,0,0,0.28,1,21,1,0,benign
31100,0,0,200,22,5068,0,0,0,0,0,0,3.63,1,14,0,0,benign
31100,4,1,200,22,2498,0,0,0,0,0,0,2.74,0,13,0,0,benign
100130,14,1,200,51,8319,0,0,1,0,1,1,3.27,1,17,0,1,command_injection
100130,13,1,200,62,13239,0,0,1,0,1,1,5.53,0,17,0,1,command_injection
31101,9,0,302,49,3198,0,1,0,0,0,1,5.26,1,2,1,1,xss
0,0,0,200,75,3733,0,0,0,0,0,0,4.75,0,22,1,0,benign
0,4,1,200,15,2315,0,0,0,0,0,0,4.78,0,7,1,0,benign
31103,13,0,200,53,11711,1,0,0,0,1,1,9.5,0,15,0,1,sql_injection
31101,4,0,200,23,5218,0,0,0,0,0,0,1.23,0,2,1,0,benign
5712,11,0,200,28,7987,0,0,0,0,0,1,201.85,27,22,1,1,brute_force
100140,12,0,500,53,10452,0,0,1,1,0,1,7.84,1,8,0,1,file_inclusion
31100,1,1,200,25,7763,0,0,0,0,0,0,2.97,0,6,1,0,benign
0,1,1,200,15,3452,0,0,0,0,0,0,0.31,0,5,1,0,benign
31100,2,1,200,6,7548,0,0,0,0,0,0,0.2,0,7,1,0,benign
31100,2,1,301,15,5229,0,0,0,0,0,0,2.65,0,7,1,0,benign
31101,0,1,301,15,367,0,0,0,0,0,0,2.24,1,22,1,0,benign
0,9,0,301,15,2291,0,0,0,0,0,0,1.88,0,1,1,0,benign
0,1,1,301,15,3469,0,0,0,0,0,0,4.48,0,21,1,0,benign
31100,1,0,200,15,7213,0,0,0,0,0,0,4.54,1,20,1,0,benign
31101,3,1,200,15,3958,0,0,0,0,0,0,2.48,0,11,0,0,benign
5712,13,0,200,28,8440,0,0,0,0,0,0,260.71,455,10,0,1,brute_force
100101,11,0,200,50,10932,1,0,0,0,0,1,7.46,0,7,1,1,sql_injection
100101,14,0,200,53,9063,1,0,0,0,1,1,5.4,0,13,0,1,sql_injection
100120,8,1,200,49,8762,0,1,0,0,0,1,4.96,1,7,1,1,xss
31101,10,0,200,6,585,0,0,0,0,0,0,2.97,0,23,1,0,benign
100100,10,0,200,53,14997,1,0,0,0,1,1,5.32,0,3,1,1,sql_injection
31100,1,1,200,15,3925,0,0,0,0,0,0,1.6,1,1,1,0,benign
31100,4,0,200,6,4051,0,0,0,0,0,0,2.47,0,20,1,0,benign
31100,0,0,304,22,6673,0,0,0,0,0,0,0.32,0,21,1,0,benign
100140,11,0,500,53,14196,0,0,1,1,0,1,7.16,1,18,0,1,file_inclusion
31101,12,0,200,28,4185,0,0,0,0,0,1,0.57,0,17,0,1,xss
100120,6,1,302,49,3056,0,1,0,0,0,1,1.6,0,0,1,1,xss
31100,1,0,200,23,3800,0,0,0,0,0,0,1.35,0,13,0,0,benign
31101,4,1,301,15,6389,0,0,0,0,0,0,0.79,0,12,0,0,benign
31101,1,1,200,22,4575,0,0,0,0,0,0,3.92,1,6,1,0,benign
31100,3,0,301,23,3605,0,0,0,0,0,0,3.71,0,18,0,0,benign
100140,11,0,500,64,7027,0,0,0,0,0,1,9.71,1,8,0,1,file_inclusion
31100,3,1,301,15,7193,0,0,0,0,0,1,3.36,1,9,0,0,benign
100110,11,0,200,28,12561,0,0,0,0,0,1,115.16,194,16,0,1,brute_force
0,0,1,200,22,4931,0,0,0,0,0,0,3.23,0,12,0,0,benign
31101,1,0,200,15,3068,0,0,0,0,0,0,1.9,0,1,1,0,benign
31100,4,0,200,15,5021,0,0,0,0,0,0,2.03,0,19,1,0,benign
0,4,1,200,15,1319,0,0,0,0,0,0,4.68,0,19,1,0,benign
0,3,0,200,6,5543,0,0,0,0,0,0,3.75,0,15,0,0,benign
100130,13,1,200,51,9006,0,0,1,0,1,1,9.38,0,19,1,1,command_injection
31101,4,0,200,25,1505,0,0,0,0,0,0,0.77,0,9,0,0,benign
31100,0,1,200,15,3941,0,0,0,0,0,0,1.39,0,6,1,0,benign
31100,8,0,200,22,1650,0,0,0,0,0,0,0.42,0,10,0,0,benign
0,3,1,304,15,7401,0,0,0,0,0,0,1.97,0,3,1,0,benign
31108,11,1,200,51,4999,0,0,1,0,1,1,3.24,1,15,0,1,command_injection
0,1,1,301,17,2110,0,0,0,0,0,0,1.01,1,11,0,0,benign
0,0,1,200,22,5396,0,0,0,0,0,0,0.81,0,20,1,0,benign
31101,3,0,301,17,7709,0,0,0,0,0,1,4.42,0,22,1,0,benign
31108,14,1,200,62,2585,0,0,1,0,1,1,9.73,0,0,1,1,command_injection
31100,3,0,200,15,2499,0,0,0,0,0,0,4.76,0,20,1,0,benign
31101,10,1,301,17,6629,0,0,0,0,0,0,0.51,1,4,1,0,benign
5712,13,0,200,28,5337,0,0,0,0,0,1,193.47,490,6,1,1,brute_force
31100,2,0,304,23,7573,0,0,0,0,0,0,0.53,0,18,0,0,benign
31101,3,1,200,22,5920,0,0,0,0,0,0,1.12,1,21,1,0,benign
31100,0,0,304,22,6462,0,0,0,0,0,0,2.5,0,5,1,0,benign
31101,4,0,200,25,6092,0,0,0,0,0,0,2.84,0,0,1,0,benign
31101,3,1,200,25,3250,0,0,0,0,0,0,1.19,1,23,1,0,benign
0,2,0,200,15,7261,0,0,0,0,0,0,2.63,0,10,0,0,benign
100140,10,0,500,64,13054,0,0,0,0,0,1,4.15,0,0,1,1,file_inclusion
31100,3,0,200,15,252,0,0,0,0,0,0,0.22,0,21,1,0,benign
31101,1,1,301,17,1161,0,0,0,0,0,0,1.72,0,11,0,0,benign
31120,5,0,200,64,6965,0,0,0,0,0,1,8.08,0,20,1,1,file_inclusion
31101,2,0,200,15,4314,0,0,0,0,0,0,4.76,0,9,0,0,benign
100140,6,0,500,64,13950,0,0,0,0,0,1,3.07,1,20,1,1,file_inclusion
31100,7,0,200,22,506,0,0,0,0,0,0,1.54,1,11,0,0,benign
100101,12,0,200,53,5861,1,0,0,0,1,1,7.03,1,14,0,1,sql_injection
31108,13,1,200,62,10675,0,0,1,0,1,1,4.05,0,0,1,1,command_injection
100101,10,0,500,57,14204,1,0,0,0,0,1,8.83,0,2,1,1,sql_injection
31101,1,0,304,15,5065,0,0,0,0,0,0,0.29,1,3,1,0,benign
0,0,0,200,22,3871,0,0,0,0,0,1,1.61,1,5,1,0,benign
100120,8,1,302,49,12952,0,1,0,0,0,1,1.97,0,0,1,1,xss
100120,10,1,200,81,12333,0,1,0,0,1,1,6.3,0,5,1,1,xss
31108,12,1,200,51,13469,0,0,1,0,1,1,6.15,0,10,0,1,command_injection
100110,14,0,200,28,12824,0,0,0,0,0,1,294.37,391,17,0,1,brute_force
31101,3,0,200,71,4924,0,0,0,0,0,1,3.32,0,0,1,0,benign
0,0,1,304,23,4613,0,0,0,0,0,0,1.69,0,1,1,0,benign
100110,14,0,200,28,13720,0,0,0,0,0,1,249.05,41,14,0,1,brute_force
100121,12,0,200,81,14483,0,1,0,0,1,1,1.49,1,16,0,1,xss
100140,13,0,500,53,7563,0,0,1,1,0,1,4.7,0,3,1,1,file_inclusion
100121,8,0,200,81,10885,0,1,0,0,1,1,8.34,0,15,0,1,xss
31108,11,1,200,51,8144,0,0,1,0,1,1,6.61,0,16,0,1,command_injection
100101,10,0,200,53,350,1,0,0,0,1,1,0.93,1,3,1,1,sql_injection
0,1,0,200,17,6521,0,0,0,0,0,0,4.17,0,12,0,0,benign
5712,14,0,200,28,5878,0,0,0,0,0,1,186.27,330,8,0,1,brute_force
31100,0,1,304,15,909,0,0,0,0,0,1,3.26,0,9,0,0,benign
31101,3,1,301,23,6906,0,0,0,0,0,0,1.09,0,15,0,0,benign
0,1,0,304,95,1097,0,0,0,0,0,0,0.26,0,3,1,0,benign
31101,9,1,200,81,12584,0,1,0,0,1,1,1.93,0,16,0,1,xss
31120,13,0,200,64,3875,0,0,0,0,0,1,7.24,0,4,1,1,file_inclusion
100140,12,0,500,64,2338,0,0,0,0,0,1,0.74,0,12,0,1,file_inclusion
31100,1,0,301,15,7890,0,0,0,0,0,0,4.3,0,2,1,0,benign
